Label,Tweet
1,"""RT @NPR: One doctor in Hong Kong says he understands why health care workers are protesting as coronavirus has spread from China:   """"We don"""
1,"""RT @NPR: One doctor in Hong Kong says he understands why health care workers are protesting as coronavirus has spread from China:   """"We don"""
1,"RT @ABCWorldNews: Hundreds of Hong Kong hospital workers went on strike, demanding the government shutter all borders with mainland China a"
1,"RT @ABCWorldNews: Hundreds of Hong Kong hospital workers went on strike, demanding the government shutter all borders with mainland China a"
1,RT @Independent: Hong Kong hospital workers strike for a second day to demand closure of China border amid coronavirus crisis https://t.co/
1,"RT @QuickTake: @business @immigrationPH @MarisePayne These countries are evacuating their citizens from Hubei province, the epicenter of th"
1,"Up to 50,000 pets have been left in Wuhan homes at the centre of China's deadly #coronavirus outbreak https://t.co/50Gqm77Axz"
1,RT @demosisto: Foreign Ministry spokeperson Hua Chunying said #China has shared information about #coronavirus with US since Jan 3. But #Xi
1,RT @Independent: Hong Kong hospital workers strike for a second day to demand closure of China border amid coronavirus crisis https://t.co/
1,"RT @ABCWorldNews: Hundreds of Hong Kong hospital workers went on strike, demanding the government shutter all borders with mainland China a"
1,"RT @AFP: Hong Kong medical workers strike, demanding the city close its border with China to reduce the #coronavirus spreading   https://t."
1,"RT @AFP: Hong Kong medical workers strike, demanding the city close its border with China to reduce the #coronavirus spreading   https://t."
1,"RT @annafifield: A person has died of coronavirus in Hong Kong, which is now the second place outside mainland China to report a death. Car"
1,RT @BritishHeraldUK: HONG KONG - Hundreds of medical workers went on strike in Hong Kong on Monday to demand the government shuts the borde
1,RT @japantimes: Hong Kong medical workers strike to urge border closure with mainland China to block virus https://t.co/VDWsZL2RRr
1,"""RT @NPR: One doctor in Hong Kong says he understands why health care workers are protesting as coronavirus has spread from China:   """"We don"""
1,Esta es la nueva medida que tom #China para evitar la propagacin del #coronavirus https://t.co/kTzybcaxzg  (*
1,RT @Independent: Hong Kong hospital workers strike for a second day to demand closure of China border amid coronavirus crisis https://t.co/
1,"RT @nytimesworld: More than 2,500 medical workers went on strike  in Hong Kong on Monday, arguing that the city risked a widespread outbrea"
1,"RT @AFP: Hong Kong medical workers strike, demanding the city close its border with China to reduce the #coronavirus spreading   https://t."
1,"RT @globalnews: More than 2,000 hospital workers went on strike in Hong Kong -- demanding that the border with mainland China be shut to wa"
1,"RT @globalnews: More than 2,000 hospital workers went on strike in Hong Kong -- demanding that the border with mainland China be shut to wa"
1,"RT @globalnews: More than 2,000 hospital workers went on strike in Hong Kong -- demanding that the border with mainland China be shut to wa"
1,RT @Independent: Hong Kong hospital workers strike for a second day to demand closure of China border amid coronavirus crisis https://t.co/
1,RT @Independent: Hong Kong hospital workers strike for a second day to demand closure of China border amid coronavirus crisis https://t.co/
1,RT @Independent: Hong Kong hospital workers strike for a second day to demand closure of China border amid coronavirus crisis https://t.co/
1,"RT @nytimesworld: More than 2,500 medical workers went on strike  in Hong Kong on Monday, arguing that the city risked a widespread outbrea"
1,"RT @nytimesworld: More than 2,500 medical workers went on strike  in Hong Kong on Monday, arguing that the city risked a widespread outbrea"
1,"RT @ABC: Hundreds of Hong Kong hospital workers went on strike, demanding the government shutter all borders with mainland China as the cou"
1,"RT @ABC: Hundreds of Hong Kong hospital workers went on strike, demanding the government shutter all borders with mainland China as the cou"
1,RT @AJEnglish: Why anger over the Hong Kong government's handling of the #coronavirus outbreak could unite ordinary people across the polit
1,RT @alfonslopeztena: Hundreds of Hong Kong medical workers strike to demand the city close its border with China to reduce the coronavirus
1,RT @alfonslopeztena: Hundreds of Hong Kong medical workers strike to demand the city close its border with China to reduce the coronavirus
1,"RT @annafifield: A person has died of coronavirus in Hong Kong, which is now the second place outside mainland China to report a death. Car"
1,"RT @nytimesworld: More than 2,500 medical workers went on strike  in Hong Kong on Monday, arguing that the city risked a widespread outbrea"
